merged_id,game_title,game_id,vgsales_rank,platform,genre,publisher,release_year,rating,global_sales,plays,wishlist,merge_date
654,Plants vs. Zombies,NULL,13034,pc,strategy,popcap games,2009,3.7,0.05,14000,82000,04-10-2025
655,PlayStation All-Stars Battle Royale,NULL,3852,psv,action,sony computer entertainment,2012,2.4,0.52,2600,78000,04-10-2025
656,PlayStation All-Stars Battle Royale,NULL,2153,ps3,action,sony computer entertainment,2012,2.4,0.96,2600,78000,04-10-2025
657,Pokémon Mystery Dungeon: Blue Rescue Team,NULL,826,ds,role-playing,nintendo,2005,3.7,2.05,3800,154000,04-10-2025
658,Portal 2,NULL,2701,pc,shooter,valve software,2011,4.4,0.76,29000,1200,04-10-2025
659,Portal 2,NULL,791,x360,shooter,valve software,2011,4.4,2.1,29000,1200,04-10-2025
660,Portal 2,NULL,1018,ps3,shooter,valve,2011,4.4,1.74,29000,1200,04-10-2025
661,Portal 2,NULL,2701,pc,shooter,valve software,2011,4.4,0.76,29000,1200,04-10-2025
662,Portal 2,NULL,791,x360,shooter,valve software,2011,4.4,2.1,29000,1200,04-10-2025
663,Portal 2,NULL,1018,ps3,shooter,valve,2011,4.4,1.74,29000,1200,04-10-2025
664,Portal 2,NULL,2701,pc,shooter,valve software,2011,4.4,0.76,29000,1200,04-10-2025
665,Portal 2,NULL,791,x360,shooter,valve software,2011,4.4,2.1,29000,1200,04-10-2025
666,Portal 2,NULL,1018,ps3,shooter,valve,2011,4.4,1.74,29000,1200,04-10-2025
667,Prince of Persia,NULL,1896,ps3,action,ubisoft,2008,3,1.08,2500,206000,04-10-2025
668,Prince of Persia,NULL,2044,x360,action,ubisoft,2008,3,1.01,2500,206000,04-10-2025
669,Prince of Persia: The Sands of Time,NULL,2216,xb,action,ubisoft,2003,3.6,0.94,5500,421000,04-10-2025
670,Prince of Persia: The Sands of Time,NULL,728,ps2,action,ubisoft,2003,3.6,2.22,5500,421000,04-10-2025
671,Prince of Persia: The Sands of Time,NULL,5630,gc,action,ubisoft,2003,3.6,0.32,5500,421000,04-10-2025
672,Prince of Persia: The Sands of Time,NULL,8814,gba,action,ubisoft,2003,3.6,0.15,5500,421000,04-10-2025
673,Prince of Persia: Warrior Within,NULL,1122,ps2,action,ubisoft,2004,3.5,1.64,2800,220000,04-10-2025
674,Prince of Persia: Warrior Within,NULL,2582,xb,action,ubisoft,2004,3.5,0.8,2800,220000,04-10-2025
675,Prince of Persia: Warrior Within,NULL,7718,gc,action,ubisoft,2004,3.5,0.2,2800,220000,04-10-2025
676,Professor Layton and the Curious Village,NULL,178,ds,puzzle,nintendo,2007,3.7,5.26,4200,407000,04-10-2025
677,Professor Layton and the Unwound Future,NULL,400,ds,puzzle,nintendo,2008,4.3,3.36,2400,388000,04-10-2025
678,Psychonauts,NULL,10887,ps2,platform,majesco entertainment,2005,4,0.09,7100,1200,04-10-2025
679,Psychonauts,NULL,9883,xb,platform,thq,2005,4,0.12,7100,1200,04-10-2025
680,Psychonauts,NULL,10887,ps2,platform,majesco entertainment,2005,4,0.09,7100,1200,04-10-2025
681,Psychonauts,NULL,9883,xb,platform,thq,2005,4,0.12,7100,1200,04-10-2025
682,Puyo Puyo Tetris,NULL,13526,ps3,puzzle,sega,2014,3.8,0.04,3100,198000,04-10-2025
683,Puyo Puyo Tetris,NULL,10059,3ds,puzzle,sega,2014,3.8,0.11,3100,198000,04-10-2025
684,Puyo Puyo Tetris,NULL,13366,psv,puzzle,sega,2014,3.8,0.05,3100,198000,04-10-2025
685,Puyo Puyo Tetris,NULL,15828,wiiu,puzzle,sega,2014,3.8,0.02,3100,198000,04-10-2025
686,Ratchet & Clank: Size Matters,NULL,327,psp,platform,sony computer entertainment,2007,2.8,3.77,1500,115000,04-10-2025
687,Rayman Legends,NULL,3071,ps3,platform,ubisoft,2013,4,0.66,9800,643000,04-10-2025
688,Rayman Legends,NULL,4297,x360,platform,ubisoft,2013,4,0.46,9800,643000,04-10-2025
689,Rayman Legends,NULL,2985,wiiu,platform,ubisoft,2013,4,0.68,9800,643000,04-10-2025
690,Rayman Origins,NULL,3457,wii,platform,ubisoft,2011,3.8,0.58,6200,417000,04-10-2025
691,Rayman Origins,NULL,2601,x360,platform,ubisoft,2011,3.8,0.79,6200,417000,04-10-2025
692,Rayman Origins,NULL,2018,ps3,platform,ubisoft,2011,3.8,1.03,6200,417000,04-10-2025
